Customer_ID,Gender,Age,Annual_Income,Product_Category,Average_Spend,Visits_per_Month,Add_to_Cart_Count,Wishlist_Count,Loyalty_Score,Customer_Tenure,Payment_Method,Discount_Usage,Referral_Source,Frequent_Buyer,Online_Shopper,Membership_Status,Usage_Time,Customer_Segment,Last_Purchase_Date,Churn
25,Female,64,83888,Groceries,1008.2654461806857,24,31,8,6.123681407213157,82,Debit Card,No,Direct,Yes,Yes,Gold,1.7907488948739663,Low,2024-01-25,0
26,Female,28,93609,Beauty,1068.7660835406557,26,1,1,1.0186886584007309,53,Debit Card,Yes,Friend Referral,No,Yes,Bronze,2.790737695122742,Medium,2024-01-26,1
27,Female,38,29077,Beauty,1147.2878130935615,13,9,7,3.34637896719567,115,PayPal,No,Direct,Yes,Yes,Silver,2.9109685846085336,High,2024-01-27,0
28,Female,43,137440,Beauty,910.3862416278868,13,1,19,5.6645174861984,64,PayPal,Yes,Social Media,Yes,Yes,Gold,1.6972244993957306,Low,2024-01-28,0
29,Female,42,142901,Groceries,1231.2228411211606,2,1,16,7.499944888062816,83,PayPal,No,Direct,No,No,Silver,2.0388712504637057,High,2024-01-29,0
30,Female,39,40953,Beauty,1841.5326856824358,5,23,12,2.5674102315585667,47,Credit Card,No,Friend Referral,No,Yes,Gold,6.414138815061924,Low,2024-01-30,0
31,Male,44,96919,Fashion,756.4227698422527,17,16,0,5.921930564086897,6,Cash on Delivery,Yes,Direct,Yes,No,Silver,1.7539689091045128,Medium,2024-01-31,0
32,Male,30,134682,Groceries,1465.1471032789007,6,31,1,7.430137154972035,16,Credit Card,No,Social Media,Yes,Yes,Silver,0.7134304388294186,High,2024-02-01,0
33,Female,50,141041,Beauty,1794.1824858072528,2,15,14,5.001648921225142,72,Credit Card,No,Social Media,Yes,No,Silver,5.2201620697170386,Medium,2024-02-02,1
34,Female,51,87889,Groceries,939.159587731877,4,15,11,1.2437302030304593,112,Cash on Delivery,No,Friend Referral,No,Yes,Gold,7.819873395443375,Low,2024-02-03,0
35,Female,58,43821,Home,914.7388809447131,22,45,13,5.043413426190731,18,PayPal,Yes,Social Media,Yes,No,Bronze,2.9841036096734106,Low,2024-02-04,0
36,Male,52,57567,Fashion,1224.12812144182,26,38,1,3.668003989697378,52,PayPal,No,Social Media,No,No,Bronze,1.3899177739718922,Medium,2024-02-05,0
37,Female,18,135374,Beauty,1203.2431808738518,11,30,17,9.366846469311955,48,Cash on Delivery,Yes,Direct,Yes,Yes,Bronze,4.777904940256481,Low,2024-02-06,0
38,Male,38,44860,Home,1622.84921753624,8,42,6,2.1215204711049465,43,Cash on Delivery,Yes,Google,Yes,Yes,Silver,7.297656583217346,Medium,2024-02-07,1
39,Male,23,41195,Home,979.1425983676708,12,23,5,6.8722835995650895,39,Credit Card,No,Social Media,Yes,No,Gold,6.380463348713591,Medium,2024-02-08,0
40,Male,45,97475,Groceries,1992.4397517969103,8,0,13,1.4744778970105104,49,Debit Card,Yes,Social Media,Yes,Yes,Silver,5.16886901309537,Medium,2024-02-09,0
41,Male,34,110874,Home,165.96955929119753,11,10,7,5.015533940314269,113,Cash on Delivery,No,Friend Referral,No,Yes,Gold,2.862923724556995,Low,2024-02-10,0
42,Male,22,107266,Fashion,56.17730473236839,22,20,1,5.985815384980725,12,Credit Card,Yes,Friend Referral,No,Yes,Silver,4.56410129957165,High,2024-02-11,1
43,Female,48,41427,Fashion,1298.3867075412663,20,3,16,3.681594381851789,109,Debit Card,No,Direct,Yes,No,Gold,1.1843363097819153,Medium,2024-02-12,0
44,Female,22,120732,Electronics,631.9480791056595,8,6,4,5.09568071968346,10,PayPal,Yes,Direct,Yes,Yes,Gold,5.592090682105025,High,2024-02-13,0
45,Female,55,47083,Fashion,518.7456579639934,29,25,13,2.471984150771686,71,PayPal,No,Social Media,Yes,No,Gold,5.938220141732382,Low,2024-02-14,0
46,Female,20,107046,Home,658.2032060083469,8,46,19,3.7371146452123254,110,Credit Card,No,Google,No,No,Silver,7.737737171824391,Low,2024-02-15,0
47,Female,40,77372,Fashion,549.2927519546608,26,49,2,6.589956924191827,55,Credit Card,No,Google,Yes,Yes,Bronze,2.452980190588037,High,2024-02-16,0
48,Male,54,143786,Groceries,110.04059683787331,17,11,4,3.7162005027503957,1,Cash on Delivery,No,Direct,No,No,Silver,0.6384231428226699,Medium,2024-02-17,0
49,Female,54,64064,Electronics,1944.489432661648,20,30,15,9.097687705679846,49,PayPal,Yes,Friend Referral,No,Yes,Silver,4.59206348320363,Low,2024-02-18,0
50,Female,27,27813,Home,480.4537024829244,20,16,17,6.655662618768908,36,Credit Card,Yes,Social Media,No,Yes,Gold,5.800928782976109,Medium,2024-02-19,0
51,Male,27,51598,Electronics,1481.3580370491472,23,32,16,4.94784116592386,21,PayPal,No,Social Media,No,No,Gold,6.42805606912241,Medium,2024-02-20,0
52,Female,36,132718,Home,1537.0629696536419,16,10,10,1.3488124199876421,37,PayPal,Yes,Google,Yes,No,Bronze,1.9530419976860796,High,2024-02-21,0
53,Male,34,146879,Groceries,1862.0519261140971,14,27,16,5.495935016842041,116,Cash on Delivery,No,Direct,Yes,No,Bronze,2.4631465177776777,Low,2024-02-22,0
54,Female,38,113106,Electronics,109.57144133209096,11,31,15,7.882986179125803,24,Debit Card,No,Google,No,No,Gold,4.344431939504723,High,2024-02-23,0
55,Male,31,47082,Beauty,1750.494259971665,7,0,1,3.3900183821117227,55,Cash on Delivery,Yes,Google,Yes,No,Bronze,2.979506074775014,Low,2024-02-24,0
56,Female,26,49241,Home,1078.0910526376103,16,46,3,8.260962126838905,25,Credit Card,Yes,Direct,Yes,Yes,Bronze,6.953836149405838,High,2024-02-25,0
57,Female,63,116214,Beauty,1283.4610144333644,13,27,6,3.2662608944579334,7,Cash on Delivery,No,Friend Referral,Yes,No,Gold,4.053201153040402,Low,2024-02-26,0
58,Male,18,64569,Electronics,1306.7170403860157,27,41,1,8.413717491557204,106,Cash on Delivery,Yes,Social Media,No,Yes,Silver,6.496839830765023,Low,2024-02-27,0
59,Male,62,31745,Beauty,1648.6057197202188,15,6,5,1.7674150745050965,81,PayPal,No,Friend Referral,Yes,Yes,Bronze,4.8546482036176535,Low,2024-02-28,0
60,Male,30,46029,Beauty,700.1442782102655,24,1,16,8.795653379821266,93,Cash on Delivery,Yes,Direct,Yes,No,Gold,6.29817606212834,Medium,2024-02-29,1
61,Male,21,33025,Electronics,1479.4498202269872,16,41,6,5.492678058399974,94,Credit Card,Yes,Direct,Yes,No,Bronze,2.995047398977429,Medium,2024-03-01,0
62,Male,18,121660,Groceries,1080.7273139582844,27,23,4,3.6688383065823578,71,Debit Card,Yes,Social Media,Yes,No,Bronze,6.735624664477334,High,2024-03-02,0
63,Male,57,143395,Beauty,1597.1183278954281,21,3,4,3.3860192537363387,97,Cash on Delivery,Yes,Friend Referral,Yes,No,Gold,2.5592923666326617,High,2024-03-03,0
64,Male,49,34288,Beauty,1981.5647639017602,23,43,19,4.888095030373264,71,Cash on Delivery,Yes,Social Media,Yes,No,Bronze,4.595741060024681,Low,2024-03-04,1
65,Male,51,109186,Groceries,441.2694839373344,24,18,15,9.991445482932805,24,Debit Card,No,Google,Yes,Yes,Bronze,2.1050533488040566,Low,2024-03-05,0
66,Female,45,26540,Beauty,1989.5648510419958,9,25,18,2.982946540938243,11,Credit Card,Yes,Google,Yes,Yes,Bronze,4.06644891219645,Medium,2024-03-06,0
67,Female,48,117768,Beauty,225.13370085140932,3,10,8,1.9289498399109966,73,Credit Card,Yes,Google,Yes,Yes,Silver,2.8863140713152737,Medium,2024-03-07,0
68,Male,25,101958,Beauty,54.51921841438704,19,39,4,6.265316518467957,12,Cash on Delivery,No,Friend Referral,Yes,No,Silver,2.5002757297791067,Medium,2024-03-08,0
69,Female,56,88878,Fashion,136.11577554677098,20,49,7,5.396882197962314,35,PayPal,No,Google,No,No,Bronze,7.752387635210281,High,2024-03-09,0
70,Female,43,61846,Groceries,716.4756892366853,5,42,8,5.7177664395697665,63,Cash on Delivery,No,Social Media,Yes,Yes,Gold,1.7005557911504796,Medium,2024-03-10,0
71,Female,51,121148,Beauty,1284.1673448229467,10,10,4,7.0024187580149535,68,Debit Card,Yes,Friend Referral,No,No,Bronze,6.404943780930465,High,2024-03-11,0
72,Female,20,95932,Groceries,184.60760473130676,17,44,9,3.404296628835844,100,Debit Card,Yes,Social Media,Yes,No,Bronze,7.881237196124112,Medium,2024-03-12,0
73,Male,29,37482,Home,61.04833833265618,15,2,1,9.195984958454996,92,Debit Card,No,Direct,No,No,Silver,0.6492611280505838,Medium,2024-03-13,1
74,Female,18,43411,Home,1877.3275054946498,23,11,8,4.921048595100613,57,Cash on Delivery,No,Friend Referral,No,Yes,Silver,5.742705605315712,Low,2024-03-14,0
75,Male,61,70975,Beauty,1652.756940082863,25,2,10,2.161775756282156,13,Cash on Delivery,No,Social Media,Yes,No,Silver,2.396838541672153,High,2024-03-15,0
76,Female,22,80545,Groceries,1627.9071837211106,8,41,3,7.680688810605499,23,Credit Card,No,Social Media,No,Yes,Bronze,0.8036586824622833,Medium,2024-03-16,1
77,Female,47,132302,Groceries,1774.6273372288554,15,26,1,6.787939173560653,83,PayPal,Yes,Friend Referral,No,No,Bronze,3.521671842174731,Low,2024-03-17,1
78,Female,47,98797,Groceries,1415.0668319056035,21,48,5,3.841690622356334,106,Cash on Delivery,Yes,Direct,No,No,Gold,7.514133576281562,High,2024-03-18,1
79,Male,34,72307,Fashion,253.5880530087588,14,1,13,6.593668516306437,101,Credit Card,Yes,Friend Referral,Yes,Yes,Bronze,0.5882382077524826,High,2024-03-19,1
80,Female,64,23093,Home,828.24536674376,20,48,0,2.9787576073207918,39,Cash on Delivery,Yes,Google,No,No,Bronze,4.909142689473363,Medium,2024-03-20,1
81,Male,40,97258,Groceries,1460.1414986060277,28,15,17,5.003554234064766,88,Credit Card,Yes,Google,No,No,Silver,4.260473589464933,High,2024-03-21,0
82,Female,32,42042,Groceries,596.6521985434658,7,1,6,9.094712699505926,80,Credit Card,No,Direct,Yes,No,Silver,7.050381232782856,Low,2024-03-22,0
83,Male,54,72930,Fashion,1390.4424100656634,21,29,0,2.2018080984467447,97,PayPal,Yes,Social Media,No,Yes,Silver,1.1300128589046925,Low,2024-03-23,0
84,Female,38,137584,Fashion,97.77197412192209,23,19,0,4.480268049887158,12,Cash on Delivery,No,Social Media,No,No,Silver,5.611445224149877,High,2024-03-24,0
85,Male,31,64413,Groceries,646.9678147152067,12,37,0,8.390281822483125,34,Credit Card,No,Social Media,No,No,Silver,5.60082273824958,Low,2024-03-25,0
86,Male,19,133387,Electronics,1120.8041557404867,17,27,3,9.725418094655604,71,Debit Card,No,Friend Referral,Yes,No,Gold,5.518100126467124,High,2024-03-26,1
87,Female,28,113623,Groceries,1282.5751675371723,17,24,3,5.085335227796163,75,Debit Card,Yes,Friend Referral,No,No,Gold,7.567508712012777,Low,2024-03-27,0
88,Male,56,117883,Groceries,1175.2292957007262,10,31,17,5.562996581290127,31,Debit Card,No,Direct,Yes,No,Gold,6.673156467551603,High,2024-03-28,1
89,Female,55,53756,Fashion,1410.6247383431876,29,9,10,6.149547656053928,93,PayPal,Yes,Google,No,Yes,Silver,0.814795446826295,High,2024-03-29,0
90,Female,51,73268,Fashion,61.873059067686185,19,41,0,9.391133274703398,62,Credit Card,No,Social Media,No,Yes,Silver,4.033121380283848,High,2024-03-30,0
91,Female,55,59214,Groceries,246.8353399561669,14,39,9,8.723861118793268,13,PayPal,Yes,Google,No,No,Silver,3.484647921510001,Low,2024-03-31,0
92,Female,51,101871,Groceries,1744.441291944333,11,32,8,2.535410121594799,31,Cash on Delivery,No,Friend Referral,No,No,Gold,2.8261041581810153,High,2024-04-01,0
93,Female,35,147844,Groceries,1379.4098559758145,2,12,3,4.930820360623676,2,Cash on Delivery,Yes,Friend Referral,Yes,Yes,Silver,3.8850254386557297,High,2024-04-02,0
94,Female,47,48602,Fashion,270.2167032377221,18,40,5,5.176003853767837,103,Credit Card,No,Friend Referral,No,No,Gold,3.381456386944831,Medium,2024-04-03,0
95,Female,32,73331,Groceries,1692.0451529272295,7,41,15,8.10186500483881,15,Debit Card,No,Google,Yes,No,Silver,3.74250424908999,Medium,2024-04-04,0
96,Female,44,68901,Groceries,522.3508747579056,12,46,1,6.426035943448918,57,Credit Card,No,Direct,No,No,Bronze,7.844463992064819,High,2024-04-05,0
97,Female,51,119986,Beauty,982.6067741806858,26,36,17,6.8879841582611165,75,Credit Card,No,Direct,Yes,No,Gold,1.1647473106218558,Medium,2024-04-06,0
98,Female,55,83416,Electronics,333.13320012508757,2,15,9,9.983799168990558,34,Credit Card,Yes,Friend Referral,No,No,Bronze,7.416731523790474,High,2024-04-07,0
99,Female,50,52196,Home,1434.714610022328,27,44,16,1.6746403912301175,103,PayPal,Yes,Social Media,No,No,Gold,4.1017753510327,Medium,2024-04-08,0
100,Male,41,148386,Electronics,1350.3661209778222,20,21,12,3.007088411803597,68,Cash on Delivery,Yes,Google,Yes,No,Silver,5.178066841246559,Low,2024-04-09,0
101,Male,32,25626,Beauty,461.6693187739656,18,19,17,4.671063436343921,75,Credit Card,No,Friend Referral,Yes,No,Silver,6.726372249632704,Low,2024-04-10,0
102,Female,47,27424,Home,1733.6314953711535,6,49,12,4.130041627439985,29,Credit Card,No,Google,Yes,Yes,Bronze,3.2034727186194165,High,2024-04-11,0
103,Female,59,32857,Groceries,832.5467472284388,24,42,16,1.1948100521228522,66,Credit Card,No,Google,Yes,Yes,Silver,3.7281643106597517,High,2024-04-12,0
104,Female,34,130459,Beauty,620.4044275879465,10,26,4,1.8259984582405826,16,PayPal,No,Direct,No,No,Gold,3.5713886020903547,Low,2024-04-13,0
105,Female,22,135621,Groceries,347.0426994558441,20,40,10,7.128579622632186,39,PayPal,No,Friend Referral,Yes,No,Silver,3.310482669018199,Low,2024-04-14,0
106,Female,46,39982,Fashion,569.0276244052981,15,15,6,8.913920170263046,77,PayPal,No,Direct,Yes,No,Silver,7.441469912351712,Medium,2024-04-15,1
107,Female,21,96961,Beauty,92.95249638644314,5,33,9,5.628043101393798,37,Credit Card,Yes,Friend Referral,Yes,No,Gold,6.716974183947591,High,2024-04-16,1
108,Female,27,21980,Fashion,1187.3521102894254,20,31,16,5.852719715622697,81,Debit Card,Yes,Google,No,Yes,Bronze,1.3174999239723206,Low,2024-04-17,0
109,Female,34,68290,Beauty,1692.3499553706984,3,25,14,3.2958408954914145,21,Debit Card,Yes,Direct,No,Yes,Bronze,1.3109251435782203,Low,2024-04-18,0
110,Male,27,46431,Beauty,1120.5118764112015,5,24,17,7.910887272703402,44,Debit Card,Yes,Google,No,Yes,Silver,3.7090213613974337,High,2024-04-19,0
111,Female,34,104976,Fashion,477.58422575155765,25,1,18,7.766151286305307,19,Cash on Delivery,Yes,Friend Referral,No,Yes,Gold,1.2399303254960679,Medium,2024-04-20,0
112,Male,37,127288,Home,115.65489751705181,8,11,1,6.29529120295891,71,Credit Card,Yes,Social Media,Yes,No,Bronze,5.143198214533397,Medium,2024-04-21,0
113,Female,41,102711,Electronics,468.52474285466553,8,39,3,2.9139785786020855,102,Debit Card,Yes,Direct,No,No,Bronze,1.5776870544630044,Medium,2024-04-22,1
114,Female,22,134187,Groceries,861.43678473863,8,8,2,1.8731639641338051,8,Debit Card,Yes,Direct,Yes,No,Silver,4.417799479751007,Medium,2024-04-23,0
115,Male,51,46385,Beauty,1531.242285964603,12,11,6,1.5781471827141331,77,Debit Card,No,Google,No,Yes,Gold,0.5541496025278831,Low,2024-04-24,0
116,Female,23,58158,Groceries,416.2935624486595,24,25,17,6.3342645997859,101,Credit Card,No,Google,Yes,No,Bronze,2.8744726130948504,High,2024-04-25,0
117,Male,19,43019,Fashion,1453.593334041638,23,8,9,8.4253178722852,66,Debit Card,No,Social Media,Yes,No,Silver,5.578930427544916,High,2024-04-26,0
118,Female,30,38639,Groceries,1740.520263286173,8,9,6,8.724973886028323,41,Debit Card,No,Direct,Yes,Yes,Silver,4.130292051708864,Low,2024-04-27,0
119,Female,60,105530,Fashion,935.1963538112963,11,31,7,5.172598669091048,75,Credit Card,No,Friend Referral,Yes,Yes,Silver,7.837021144992411,Low,2024-04-28,0
120,Male,60,119911,Groceries,1651.7923837030569,14,33,5,8.058441693760452,88,Cash on Delivery,No,Friend Referral,Yes,Yes,Silver,7.055778470496581,Low,2024-04-29,1
121,Female,28,41563,Electronics,1131.5818286684364,8,47,0,9.521921767069212,70,PayPal,No,Direct,No,Yes,Bronze,3.1930308428236343,High,2024-04-30,0
122,Male,64,59341,Electronics,1292.3271323077647,29,19,3,3.476531012392612,61,Debit Card,Yes,Direct,Yes,Yes,Gold,0.8411490610420596,High,2024-05-01,1
123,Female,40,135672,Electronics,1076.2429976594954,24,38,13,4.581643117426815,26,PayPal,Yes,Direct,Yes,No,Silver,6.842197250862641,High,2024-05-02,1
124,Male,33,25776,Electronics,953.1867976651164,28,1,16,9.383310933370126,71,Cash on Delivery,No,Social Media,Yes,No,Silver,7.334257327360035,Medium,2024-05-03,0
125,Male,48,56444,Electronics,507.57421146290625,10,0,19,4.044078705855563,103,Cash on Delivery,Yes,Friend Referral,Yes,Yes,Bronze,6.654705450642776,Low,2024-05-04,0
126,Female,28,88916,Electronics,641.2284159490398,7,35,17,9.224886612896167,83,Debit Card,Yes,Friend Referral,No,No,Silver,1.4596245568982364,Low,2024-05-05,0
127,Female,33,28711,Fashion,615.4417319400376,28,23,10,9.829403760290191,70,Credit Card,Yes,Google,No,No,Silver,7.984363508092158,Low,2024-05-06,0
128,Male,25,94318,Beauty,1148.4134153599387,17,26,13,6.956296557169822,107,Cash on Delivery,Yes,Google,Yes,No,Gold,2.439381661645804,High,2024-05-07,0
129,Female,21,102970,Groceries,283.9097013965853,4,1,8,8.352012605537514,29,PayPal,Yes,Direct,Yes,No,Silver,5.931536846062776,Low,2024-05-08,1
130,Female,57,132301,Electronics,1837.7437968695535,29,30,14,7.745910077989767,107,PayPal,No,Google,Yes,Yes,Bronze,7.310261572517912,Low,2024-05-09,0
131,Female,21,105553,Fashion,1455.2775333020709,13,13,11,7.295808318539714,103,PayPal,Yes,Social Media,Yes,No,Gold,2.267653357480321,Medium,2024-05-10,0
132,Male,42,50707,Fashion,832.8189802807276,4,1,9,3.762379656831093,66,PayPal,No,Friend Referral,No,No,Bronze,7.311939160077996,High,2024-05-11,0
133,Male,20,59110,Fashion,359.317081826437,5,28,18,1.5138490411714933,19,Cash on Delivery,No,Friend Referral,No,No,Gold,2.821111843961502,Low,2024-05-12,0
134,Male,49,149410,Beauty,1769.88473095719,26,14,18,4.087465592676855,68,Debit Card,No,Google,Yes,Yes,Gold,7.823099167880421,High,2024-05-13,0
135,Male,20,81788,Groceries,1656.3672756972721,22,11,5,7.0024238668351595,58,Debit Card,Yes,Direct,Yes,No,Silver,2.6094501528535594,High,2024-05-14,0
136,Male,44,102879,Beauty,1457.3570277984995,4,36,19,1.9227627840502124,70,PayPal,No,Google,Yes,Yes,Silver,7.650768685683763,High,2024-05-15,0
137,Male,46,58827,Home,579.5167424519226,18,27,5,1.1072618468041788,113,Debit Card,No,Direct,Yes,Yes,Silver,0.9015848816950618,Medium,2024-05-16,0
138,Male,49,127188,Fashion,834.7709429956544,6,19,7,2.257231353426448,57,PayPal,No,Social Media,Yes,Yes,Bronze,5.819540087523597,High,2024-05-17,1
139,Male,36,25655,Home,250.35909228222556,24,38,0,7.441623337697158,37,PayPal,No,Friend Referral,No,Yes,Silver,4.4908335037775275,High,2024-05-18,0
140,Male,38,64859,Electronics,418.62707321868686,24,23,16,9.755143314907995,61,Credit Card,Yes,Social Media,No,No,Silver,4.08407807842048,High,2024-05-19,1
141,Female,22,73625,Electronics,1576.882442767629,23,20,16,9.847582296533384,92,Cash on Delivery,No,Friend Referral,Yes,Yes,Gold,2.1762073569188,Low,2024-05-20,0
142,Male,35,72098,Beauty,1444.3255017588335,22,9,14,5.445812342261691,30,Cash on Delivery,No,Social Media,No,Yes,Silver,5.79196842332369,Medium,2024-05-21,0
143,Female,45,35251,Groceries,1207.2972378030727,2,45,6,8.824170708931128,71,PayPal,No,Google,No,Yes,Silver,1.9310711858473033,Low,2024-05-22,0
144,Female,59,142413,Home,1796.667115556037,23,13,18,7.631438101763536,73,Cash on Delivery,No,Social Media,No,Yes,Silver,4.6463134698857615,Medium,2024-05-23,0
145,Female,39,20526,Groceries,1187.3697097354386,11,36,2,5.509362132861431,25,Debit Card,Yes,Social Media,Yes,Yes,Silver,2.399340222801881,Medium,2024-05-24,0
146,Male,38,88760,Beauty,960.587599929041,28,17,10,6.154844796595781,97,PayPal,No,Google,No,No,Gold,7.667160348360171,High,2024-05-25,0
147,Male,23,67837,Electronics,713.7229552962373,14,23,19,2.2350443195518395,65,Credit Card,No,Friend Referral,No,Yes,Silver,0.7147339537673962,High,2024-05-26,0
148,Male,18,145133,Groceries,1883.8745861855366,5,13,18,9.438953145549329,115,Debit Card,No,Friend Referral,Yes,No,Gold,1.997962100834274,Low,2024-05-27,0
149,Male,22,149478,Groceries,211.29514997248933,6,33,8,4.1673679365859915,6,Credit Card,No,Google,No,No,Bronze,2.317329547905858,Medium,2024-05-28,0
150,Female,58,31536,Electronics,1865.2303755185765,10,11,9,5.0153433081145256,18,Credit Card,No,Social Media,Yes,Yes,Silver,3.6055086932586233,High,2024-05-29,0
151,Male,29,48541,Home,1662.0935868654858,8,21,1,7.044942078981089,10,Cash on Delivery,No,Social Media,No,No,Silver,2.245476814025402,High,2024-05-30,0
152,Male,43,99083,Electronics,303.3633528446175,14,5,0,4.0051222437389855,92,Cash on Delivery,Yes,Social Media,Yes,No,Silver,4.185118177015889,High,2024-05-31,1
153,Male,63,71027,Groceries,1151.7194974667445,24,35,15,3.2883324489003747,11,PayPal,No,Direct,Yes,No,Gold,7.0434914244390425,High,2024-06-01,0
154,Male,51,54531,Home,1739.7685644107194,3,44,17,6.6794445394319855,97,Cash on Delivery,Yes,Friend Referral,No,Yes,Silver,5.840475660568781,Low,2024-06-02,0
155,Male,31,28712,Home,1165.0278690339499,12,35,16,1.224856740536645,65,Credit Card,Yes,Social Media,No,Yes,Silver,4.849714854013333,Low,2024-06-03,1
156,Female,43,124101,Electronics,1819.0396520432134,16,21,5,7.48652600824011,77,Credit Card,No,Friend Referral,Yes,Yes,Bronze,1.1675238348700974,High,2024-06-04,0
157,Male,62,85455,Groceries,1888.818442791283,28,13,13,5.626210328888588,101,Debit Card,Yes,Social Media,Yes,Yes,Gold,5.704940812919567,High,2024-06-05,1
158,Female,44,94744,Beauty,873.6498182593965,23,15,14,6.45178357468841,84,Credit Card,No,Google,No,Yes,Gold,1.748107132332049,High,2024-06-06,0
159,Male,26,141787,Groceries,785.761639742331,17,35,13,6.686921433221966,65,PayPal,Yes,Google,No,Yes,Bronze,6.397755394712735,High,2024-06-07,1
160,Female,43,149749,Fashion,1875.8262502398559,1,24,2,5.7434514084330734,52,PayPal,No,Friend Referral,No,Yes,Gold,2.375425688826149,High,2024-06-08,0
161,Male,64,25109,Beauty,1366.5231192418528,23,31,18,6.242803996966623,67,Cash on Delivery,Yes,Friend Referral,No,No,Silver,3.627865462406757,Medium,2024-06-09,1
162,Male,39,141332,Home,276.2442286289301,10,32,11,7.154093808008871,82,Cash on Delivery,Yes,Google,Yes,No,Silver,3.128526517384459,Medium,2024-06-10,0
